"ISBN","도서명","원도서명","출판사","정가","위치코드","위치설명","정품","반품","창고재고","재고구분","위험재고","거래상태","재고매칭"
"9791167853127","요즘 시민을 위한 최소한의 AI","요즘 시민을 위한  최소한의 AI","슬로디미디어","16800","","위치 정보가 없습니다.","327","0","327","","","거래","일치"
"9791199800120","유아독존-유아교육각론편-4","유아독존-유아교육각론편-4","우리교과서","38000","","위치 정보가 없습니다.","226","1","227","","","거래","일치"
"9791199294561","주말 CEO","주말 CEO","오리북스","18000","","위치 정보가 없습니다.","495","0","495","","","거래","일치"
"9791167853110","이제는 배송이 곧 마케팅이다","이제는 배송이 곧 마케팅이다","슬로디미디어","18000","","위치 정보가 없습니다.","304","0","304","","","거래","일치"
"9788992668989","(소) 영으로 찬양 베스트 5","(소) 영으로 찬양 베스트 5","(주)글로벌워십미니스트리","18000","","위치 정보가 없습니다.","339","0","339","","","거래","일치"
"9791188574797","놀라운 세상을 만나러 가까이, 더 가까이","놀라운 세상을 만나러 가까이, 더 가까이 (A121)","나는별","17000","A121","A동 1번 라인, 앞에서 2번째, 1층","1509","0","1509","","","거래","일치"
"9791188574223","[재정가]내가 가장 듣고 싶은 말","[재정가]내가 가장 듣고 싶은 말 (A111)","나는별","16000","A111","A동 1번 라인, 앞에서 1번째, 1층","940","1","941","","","거래","일치"
"9791187642503","[개정판]배지윤의 아테네 유아교육과정 각론 2","[개정판]배지윤의 아테네 유아교육과정 각론 2 (A121)","우리교과서","36000","A121","A동 1번 라인, 앞에서 2번째, 1층","277","0","277","","","거래","일치"
"9791191155709","한국대표 서정시선 16","한국대표 서정시선 16 (B182)","도서출판 서정문학","15000","B182","B동 1번 라인, 앞에서 8번째, 2층","10","0","10","위험","위험","거래","일치"
"9791191155716","한국대표 서정 산문선 8","한국대표 서정 산문선 8 (B182)","도서출판 서정문학","15000","B182","B동 1번 라인, 앞에서 8번째, 2층","10","0","10","위험","위험","거래","일치"
"9791167853080","감정에 서툰 당신을 위한 마음의 뇌과학","감정에 서툰 당신을 위한 마음의 뇌과학 (B413)","슬로디미디어","18000","B413","B동 4번 라인, 앞에서 1번째, 3층","226","0","226","","","거래","일치"
"9791163262107","[워크북]좋은 성품으로 지키는 아름다운 성 (Aa53)","[워크북]좋은 성품으로 지키는 아름다운 성 (Aa53)","좋은나무성품학교","15000","","위치 정보가 없습니다.","45","0","45","위험","위험","거래","일치"
"9788964036648","소중한 내몸 성품으로 지켜요! (Aa53)","소중한 내몸 성품으로 지켜요! (Aa53)","좋은나무성품학교","15000","","위치 정보가 없습니다.","50","0","50","위험","위험","거래","일치"
"9791188125609","미셔널 위그노","미셔널 위그노","국민북스","20000","","위치 정보가 없습니다.","237","0","237","","","거래","일치"
"9791124102039","Ai버블 반도체 실전 투자법","Ai버블 반도체 실전 투자법","지베르니 출판그룹","40000","","위치 정보가 없습니다.","2377","0","2377","","","거래","일치"
"9791167853073","들리지 않지만 사는 데 괜찮습니다","들리지 않지만 사는 데 괜찮습니다 (B411)","슬로디미디어","16800","B411","B동 4번 라인, 앞에서 1번째, 1층","469","0","469","","","거래","일치"
"9791199800113","유아독존-유아교육각론편-3","유아독존-유아교육각론편-3 (A111)","우리교과서","43000","A111","A동 1번 라인, 앞에서 1번째, 1층","176","0","176","","","거래","일치"
"9791189998967","소르르일러스트 눈꽃에디션","소르르일러스트 눈꽃에디션","별글","14800","","위치 정보가 없습니다.","174","0","174","","","거래","일치"
"9791163260622","아기곰의 순정 순종 꼬리 (Aa33)","아기곰의 순정 순종 꼬리  (Aa33)","좋은나무성품학교","15000","","위치 정보가 없습니다.","41","0","41","위험","위험","거래","일치"
"9791188242818","미켈란젤로의 긍정 긍정적인 정탐꾼 (Aa33)","미켈란젤로의 긍정 긍정적인 정탐꾼  (Aa33)","좋은나무성품학교","15000","","위치 정보가 없습니다.","42","0","42","위험","위험","거래","일치"
"9791188242795","긍정적인 개구리 사자굴에서도 긍정적으로 (Aa33)","긍정적인 개구리 사자굴에서도 긍정적으로  (Aa33)","좋은나무성품학교","15000","","위치 정보가 없습니다.","43","0","43","위험","위험","거래","일치"
"9791188242801","긍정을 선택해요 긍정의 용사 (Aa33)","긍정을 선택해요 긍정의 용사  (Aa33)","좋은나무성품학교","15000","","위치 정보가 없습니다.","44","0","44","위험","위험","거래","일치"
"9791163261483","정직의 꽃 게하시의 거짓말 (Aa23)","정직의 꽃 게하시의 거짓말 (Aa23)","좋은나무성품학교","15000","","위치 정보가 없습니다.","39","0","39","위험","위험","거래","일치"
"9791163261506","정직한 대통령, 링컨 아간의 거짓말 (Aa23)","정직한 대통령, 링컨 아간의 거짓말 (Aa23)","좋은나무성품학교","15000","","위치 정보가 없습니다.","47","0","47","위험","위험","거래","일치"
"9791163260639","아기 물고기의 순종 순종의 축복 (Aa23)","아기 물고기의 순종 순종의 축복 (Aa23)","좋은나무성품학교","15000","","위치 정보가 없습니다.","40","0","40","위험","위험","거래","일치"
"9791192700243","봄 여름 가을 그리고 바다","봄 여름 가을 그리고 바다","별글","16800","","위치 정보가 없습니다.","957","0","957","","","거래","일치"
"9791185216331","꾹꾹 참고 기다렸더니 (Aa33)","꾹꾹 참고 기다렸더니 (Aa33)","좋은나무성품학교","12000","","위치 정보가 없습니다.","0","0","0","0재고","","거래","일치"
"9791185216546","꿀벌 베베의 약속 (Aa33)","꿀벌 베베의 약속 (Aa33)","좋은나무성품학교","12000","","위치 정보가 없습니다.","0","0","0","0재고","","거래","일치"
"9791185422435","비탈에 선 나무","비탈에 선 나무 (B183)","디자인 존(도서출판 푸른산)","15000","B183","B동 1번 라인, 앞에서 8번째, 3층","7","0","7","위험","위험","거래","일치"
"9791195860364","인내하는 거북 인내하는 아버지","인내하는 거북 인내하는 아버지 (A212)","좋은나무성품학교","15000","A212","A동 2번 라인, 앞에서 1번째, 2층","41","0","41","위험","위험","거래","일치"
"9791163261421","창의적인 집 세상을 만드는 창의성","창의적인 집 세상을 만드는 창의성 (A212)","좋은나무성품학교","15000","A212","A동 2번 라인, 앞에서 1번째, 2층","42","0","42","위험","위험","거래","일치"
"9791195860357","인내의 열매 인내하는 부자","인내의 열매 인내하는 부자 (A212)","좋은나무성품학교","15000","A212","A동 2번 라인, 앞에서 1번째, 2층","38","0","38","위험","위험","거래","일치"
"9791163261414","까마귀의 창의성 내몸의 창의성","까마귀의 창의성 내몸의 창의성 (A212)","좋은나무성품학교","15000","A212","A동 2번 라인, 앞에서 1번째, 2층","40","0","40","위험","위험","거래","일치"
"9791163261599","히포크라테스의 지혜 지혜를 담은 편지","히포크라테스의 지혜 지혜를 담은 편지 (A212)","좋은나무성품학교","15000","A212","A동 2번 라인, 앞에서 1번째, 2층","39","0","39","위험","위험","거래","일치"
"9791163261407","바이올린과 창의성 창의성과 언어","바이올린과 창의성 창의성과 언어 (A212)","좋은나무성품학교","15000","A212","A동 2번 라인, 앞에서 1번째, 2층","42","0","42","위험","위험","거래","일치"
"9791163261612","해와 바람의 지혜 전쟁을 막는지혜","해와 바람의 지혜 전쟁을 막는지혜 (A212)","좋은나무성품학교","15000","A212","A동 2번 라인, 앞에서 1번째, 2층","40","0","40","위험","위험","거래","일치"
"9791195860371","개미와 배짱이 인내하는 대장","개미와 배짱이 인내하는 대장 (A212)","좋은나무성품학교","15000","A212","A동 2번 라인, 앞에서 1번째, 2층","37","0","37","위험","위험","거래","일치"
"9791163261605","지혜를 선택해요 지혜로운 재판","지혜를 선택해요 지혜로운 재판 (A212)","좋은나무성품학교","15000","A212","A동 2번 라인, 앞에서 1번째, 2층","40","0","40","위험","위험","거래","일치"
"9791167853059","팀 다이얼로그","팀 다이얼로그 (B313)","슬로디미디어","18000","B313","B동 3번 라인, 앞에서 1번째, 3층","187","0","187","","","거래","일치"
"9791163260455","감사하는 마음으로 보면 모든 순간감사해요 (Aa33)","감사하는 마음으로 보면 모든 순간감사해요 (Aa33)","좋은나무성품학교","15000","","위치 정보가 없습니다.","39","0","39","위험","위험","거래","일치"
"9791163260448","시골쥐의 감사 매일매일 감사해요 (Aa23)","시골쥐의 감사 매일매일 감사해요 (Aa23)","좋은나무성품학교","15000","","위치 정보가 없습니다.","34","0","34","위험","위험","거래","일치"
"9791163260462","감사의 선물 가득채운 감사 (Aa33)","감사의 선물 가득채운 감사 (Aa33)","좋은나무성품학교","15000","","위치 정보가 없습니다.","37","0","37","위험","위험","거래","일치"
"9791124102022","일은 어떻게 만들어 지는가","일은 어떻게 만들어 지는가 (A211)","지베르니 출판그룹","22000","A211","A동 2번 라인, 앞에서 1번째, 1층","126","0","126","","","거래","일치"
"9791187642497","[개정판]배지윤의 아테네 유아교육과정 각론 1","[개정판]배지윤의 아테네 유아교육과정 각론 1 (A121)","우리교과서","33000","A121","A동 1번 라인, 앞에서 2번째, 1층","239","1","240","","","거래","일치"
"9791167853042","차이나 임팩트 : 모빌리티 패권 전쟁","차이나 임팩트 : 모빌리티 패권 전쟁 (B313)","슬로디미디어","16800","B313","B동 3번 라인, 앞에서 1번째, 3층","246","0","246","","","거래","일치"
"9791188574124","(재정가)수학에 빠진 아이","(재정가)수학에 빠진 아이 (A241)","나는별","15000","A241","A동 2번 라인, 앞에서 4번째, 1층","964","0","964","","","거래","일치"
"9791199800106","개정5판)누리자 자유 유아 교직논술","개정5판)누리자 자유 유아 교직논술 (A141)","우리교과서","29000","A141","A동 1번 라인, 앞에서 4번째, 1층","153","0","153","","","거래","일치"
"9791124102015","선을 넘은 사람들","선을 넘은 사람들 (A211)","지베르니 출판그룹","22000","A211","A동 2번 라인, 앞에서 1번째, 1층","1015","0","1015","","","거래","일치"
"9791197342295","유아독존-유아교육개론편-2","유아독존-유아교육개론편-2 (A121)","우리교과서","45000","A121","A동 1번 라인, 앞에서 2번째, 1층","84","0","84","","","거래","일치"
"9791188574780","떡볶이 맛나다","떡볶이 맛나다 (A111)","나는별","17000","A111","A동 1번 라인, 앞에서 1번째, 1층","411","1","412","","","거래","일치"
"9791198514264","멈추지 않는 페달","멈추지 않는 페달","디자인 존(도서출판 푸른산)","15000","","위치 정보가 없습니다.","26","0","26","위험","위험","거래","일치"
"9791199504516","살려면 이 책을 보라","살려면 이 책을 보라 (B222)","느티나무가 있는 풍경","23000","B222","B동 2번 라인, 앞에서 2번째, 2층","72","0","72","","","거래","일치"
"9791199472570","마음으로 바라보는 세상","마음으로 바라보는 세상 (B184)","디자인 존(도서출판 푸른산)","12000","B184","B동 1번 라인, 앞에서 8번째, 4층","5","0","5","위험","위험","거래","일치"
"9791167852984","기술의 민주화 코드없는 AI혁신","기술의 민주화 코드없는 AI혁신 (B411)","슬로디미디어","18000","B411","B동 4번 라인, 앞에서 1번째, 1층","755","0","755","","","거래","일치"
"9791167852977","요즘 시민을 위한 최소한의 외교","요즘 시민을 위한 최소한의 외교 (B413)","슬로디미디어","16800","B413","B동 4번 라인, 앞에서 1번째, 3층","583","0","583","","","거래","일치"
"9791187594352","드럼 배우기","드럼 배우기","가득뮤직 출판사","21000","","위치 정보가 없습니다.","959","0","959","","","거래","일치"
